round	UTS_p0.02_1s	CUTS_p0.02_4s	TS	CTS_4s
607	96.443072	28.501358	420.001120	76.109233
608	96.473104	28.529470	420.475360	76.109408
609	96.502112	28.557636	420.949920	76.109408
610	96.530800	28.585390	421.424240	76.109466
611	96.561744	28.613353	421.898000	76.109466
612	96.590256	28.641023	422.375600	76.109466
613	96.619264	28.668341	422.846000	76.109466
614	96.647280	28.696182	423.309520	76.109466
615	96.676288	28.723461	423.775120	76.109466
616	96.704848	28.751558	424.242480	76.109525
617	96.732800	28.778490	424.714320	76.109525
618	96.762192	28.805635	425.181440	76.109525
619	96.791264	28.833102	425.643680	76.109525
620	96.819808	28.860507	426.103360	76.109583
621	96.847856	28.888004	426.570720	76.109583
